manufacturer,model,price,car_details_url,fuel_type,vehicle_chasis
Renault,Captur Hybrid,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/captur-hybrid,Hybride benzine,SUV
Fiat,600e Elektrisch,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/600e-ev,Elektriciteit,SUV
Toyota,Corolla Hybrid,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/corolla-hybrid,Hybride benzine,Hatchback
Opel,Mokka Electric Elektrisch,"€ 459,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/mokka-electric-ev,Elektriciteit,SUV
Mazda,3 hatchback MHEV,"€ 464,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/3-hatchback-mhev,Benzine,Hatchback
Peugeot,308,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/308,Benzine,Hatchback
Nissan,Juke Hybrid,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/juke-hybrid,Hybride benzine,SUV
Volkswagen,Taigo,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/taigo,Benzine,SUV
Ford,Focus Wagon MHEV,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ford/focus-wagon-mhev,Benzine,Stationwagen
Nissan,Leaf Elektrisch,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/leaf-ev,Elektriciteit,Hatchback
Dacia,Jogger Hybrid,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/jogger-hybrid,Hybride benzine,MPV
Volkswagen,T-Cross,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/t-cross,Benzine,SUV
MG,ZS Elektrisch,"€ 469,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mg/zs-ev,Elektriciteit,SUV
Seat,Leon,"€ 474,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/leon,Benzine,Hatchback
Mazda,MX-30 Elektrisch,"€ 479,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/mx-30-ev,Elektriciteit,SUV
Peugeot,e-2008 Elektrisch,"€ 479,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/e-2008-ev,Elektriciteit,SUV
Mitsubishi,ASX Hybrid,"€ 484,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/asx-hybrid,Hybride benzine,SUV
Opel,Astra Sports Tourer,"€ 484,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/astra-sports-tourer,Benzine,Stationwagen
Hyundai,KONA Hybrid,"€ 484,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/kona-hybrid,Hybride benzine,SUV
MG,5 Elektrisch,"€ 484,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mg/5-ev,Elektriciteit,Stationwagon
Seat,Leon Sportstourer,"€ 489,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/leon-sportstourer,Benzine,Stationwagen
Suzuki,S-Cross Hybrid,"€ 489,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/suzuki/s-cross-hybrid,Hybride benzine,SUV
Peugeot,308 SW,"€ 494,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/308-sw,Benzine,Stationwagen
Opel,Astra Electric Elektrisch,"€ 499,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/astra-electric-ev,Elektriciteit,Hatchback
Volvo,EX30 Elektrisch,"€ 499,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/ex30-ev,Elektriciteit,SUV
Seat,Ateca,"€ 499,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/ateca,Benzine,SUV
Renault,Megane E-TECH Elektrisch,"€ 499,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/megane-e-tech-ev,Elektriciteit,SUV
Toyota,Corolla Touring Sports Hybrid,"€ 499,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/corolla-touring-sports-hybrid,Hybride benzine,Stationwagen
Ford,Kuga PHEV,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ford/kuga-phev,Elektriciteit/Benzine,SUV
Peugeot,2008,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/2008,Benzine,SUV
Jeep,Renegade MHEV,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/jeep/renegade-mhev,Benzine,SUV
BYD,ATTO 3 Elektrisch,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/byd/atto-3-ev,Elektriciteit,SUV
Kia,Niro EV Elektrisch,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/niro-ev-ev,Elektriciteit,SUV
Renault,Arkana Hybrid,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/arkana-hybrid,Hybride benzine,SUV
Volkswagen,T-Roc,"€ 509,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/t-roc,Benzine,SUV
Hyundai,KONA Electric Elektrisch,"€ 514,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/kona-electric-ev,Elektriciteit,SUV
Mazda,MX-5 Roadster,"€ 514,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/mx-5-roadster,Benzine,Cabrio
Audi,A3 Limousine MHEV,"€ 519,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/a3-limousine-mhev,Benzine,Sedan
Audi,A3 Sportback,"€ 524,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/a3-sportback,Benzine,Sportback
Mercedes-Benz,B-Klasse,"€ 529,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=H713RB&condition=occasion,Benzine,Mini MPV
Renault,Grand Scénic,"€ 529,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=P598TT&condition=occasion,Benzine,Mini MPV
Hyundai,Tucson MHEV,"€ 529,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=P616NV&condition=occasion,Benzine,SUV
